state	value*	action*
643 4314.38435316 1
645 4279.30093365 1
660 3865.71340347 1
662 3809.08820912 1
678 3434.79256433 1
679 3343.71237486 1
695 3017.60819742 1
1126 4783.37729952 1
1127 4783.74790134 1
1128 4761.68823454 1
1135 4263.29785608 1
1142 4313.83726320 1
1152 3783.47348731 1
1159 3864.86915881 1
1169 3303.83567238 1
1176 3433.44685364 1
1185 2814.92084050 1
1193 3015.42743004 1
1196 2874.26385504 1
1212 2608.60591378 1
1213 2391.61583135 1
1610 5275.81078224 1
1611 5261.76049563 1
1619 4751.74884296 1
1639 4262.44296916 1
1648 5064.59518412 5
1651 3806.46373652 1
1655 3781.67904791 1
1665 4606.95951088 2
1667 3339.04649651 1
1671 3300.46055775 1
1681 4125.89561144 2
1684 2866.32928489 1
1688 2809.19074593 1
1697 3689.78725302 3
1702 2308.26413088 1
1710 2605.07352477 1
1719 1779.62298031 1
1728 2200.53029560 1
1730 1889.10029024 1
2094 5791.69387479 1
2095 5783.53883316 1
2103 5255.45877387 1
2123 4751.38734520 1
2135 4277.82740396 1
2146 3789.15033428 1
2148 4759.58196543 1
2151 3810.03578797 1
2157 4884.52773019 4
2162 3313.11326952 1
2164 4200.02955112 1
2168 3344.76107638 1
2173 4569.08363583 4
2174 4365.87254256 5
2178 2829.25031446 1
2180 3624.63228351 1
2184 2875.16764727 1
2189 4137.67457535 2
2190 3992.83160596 3
2191 4021.81524030 5
2194 2328.93423604 1
2200 2450.02550354 1
2204 2299.43752128 1
2205 3787.24941123 4
2206 3516.08827174 2
2211 3157.06048031 5
2213 3219.53758723 3
2222 3087.13084828 5
2226 2194.92823649 1
2229 2748.19630955 4
2578 6334.55259941 1
2580 6330.02519322 1
2587 5779.33105645 1
2604 5255.32218448 1
2607 5255.32472614 1
2615 4753.80079793 1
2619 4751.38484578 1
2620 4751.53301659 1
2630 4266.66617922 1
2632 5313.46485635 1
2633 5429.76715734 2
2642 5192.36769755 4
2644 5109.06695717 3
2650 4870.09304383 5
2655 3456.26200511 1
2656 4692.42113984 1
2657 4659.52773023 1
2658 4717.35788260 5
2659 4623.54821171 3
2660 4762.50920544 3
2663 4319.08731413 3
2666 4525.49300613 4
2670 3052.08926390 1
2672 4549.85383033 4
2673 4130.33377989 1
2675 4340.55806796 2
2676 4355.88380637 2
2678 3962.39638486 4
2679 3890.54369760 2
2682 4144.38547780 3
2686 2789.51106122 2
2687 4246.82798247 4
2689 3595.86514177 1
2690 4056.19488344 4
2691 3946.78610961 2
2694 3497.60953505 2
2695 3535.94295344 4
2696 3026.01330382 1
2698 3773.78638937 3
2701 2634.20217430 4
2703 3900.79481860 5
2706 3667.26965145 2
2707 3639.30169028 2
2710 3115.95559784 3
2712 2402.71748433 1
2713 3381.93278661 4
2716 2046.20183337 1
2717 2477.47006617 4
2719 3455.58277857 2
2720 1767.25669778 1
2721 3307.23687255 2
2723 3354.63310722 4
2735 1233.00759925 1
2738 2656.96134259 4
2742 1776.67767305 1
2744 1785.18603291 1
2745 2265.71520041 4
2746 1366.28231476 1
3063 6905.98726315 1
3064 6903.58215901 1
3072 6326.97864885 1
3092 5779.28814257 1
3100 5256.88124945 1
3104 5255.37879454 1
3117 5866.58489709 4
3124 4316.51852940 1
3125 4293.26712505 1
3127 5470.71950306 4
3129 5450.60363009 2
3134 3810.71404172 1
3135 3869.32968969 1
3138 3880.67745233 1
3139 3878.00483820 1
3140 3877.36380000 1
3141 5223.35069621 3
3143 5056.41880706 2
3144 4933.22512130 4
3147 4686.47419579 3
3149 3346.22144766 1
3150 4146.73064982 1
3151 4859.42140281 5
3153 3460.30017787 1
3154 3455.29374754 1
3155 3456.52166725 1
3156 4843.29408055 2
3157 4601.25737161 4
3162 3950.69174575 1
3163 4348.33963174 4
3165 2878.00720316 1
3166 3934.62014532 1
3168 3060.75517062 1
3169 3050.58898604 1
3170 3052.57734377 1
3171 4530.19308350 3
3172 4211.07371873 2
3177 3394.98935163 1
3178 4017.35393164 4
3180 2396.97602419 1
3181 3438.61993460 1
3183 2680.96747821 1
3184 4180.59390613 5
3185 2662.12785909 1
3186 4130.70635567 2
3187 4033.47207635 4
3188 3936.02985596 5
3192 3676.72062659 4
3194 3632.12385408 3
3196 1896.37380232 1
3197 3020.45109700 1
3198 3844.45864231 5
3200 3800.40515943 2
3202 2412.36884112 1
3203 3750.37111949 3
3204 3047.55996249 1
3209 3240.41078359 4
3213 3281.93278663 2
3215 3491.49988368 5
3218 3477.59005548 5
3222 3383.50783050 4
3225 2794.85622029 5
3226 2585.34807991 1
3227 2714.86204067 2
3229 2878.92289699 2
3230 3176.02069701 5
3232 1653.95909482 1
3233 2214.77020746 2
3234 3085.88369917 4
3236 1217.29051044 1
3237 2877.68885005 3
3238 3114.75249816 4
3239 3030.32845770 3
3242 2393.11986762 4
3251 685.66698265 1
3548 7507.95991918 1
3549 7506.20819200 1
3563 6905.81931217 1
3577 6326.96702942 1
3588 5779.28674625 1
3589 5779.30546590 1
3602 6203.73986743 3
3609 4785.04237572 1
3610 4770.28447870 1
3612 4764.78094873 1
3614 5873.54696737 3
3619 4280.30691158 1
3620 4312.65175007 1
3621 4302.12862946 1
3623 4323.00430069 1
3624 4322.93219397 1
3625 4321.99068573 1
3626 5556.20170014 3
3627 5499.75157410 3
3629 5224.45205148 5
3631 4292.54563976 1
3632 5039.08922714 5
3633 5033.76333867 4
3635 5221.66552607 4
3636 5205.06308014 3
3641 5224.17888733 3
3642 4896.20254955 5
3644 3388.00752110 1
3646 3665.15545150 1
3647 4501.60569818 1
3648 4614.86564058 2
3657 4563.33231440 3
3658 4588.33230405 4
3659 4598.50437186 3
3661 3269.81009428 1
3662 4227.88168958 4
3663 4059.09379562 1
3668 4476.46062262 4
3669 4475.98017741 5
3670 4464.62918864 4
3671 4379.48918782 3
3672 4294.37878458 4
3673 4218.12837281 2
3674 4275.25206841 3
3676 2878.51311345 1
3677 3989.56805471 5
3678 3488.16353891 1
3683 4163.98089211 3
3684 4174.77051196 3
3685 4202.20165629 3
3686 4110.91301992 3
3687 3808.47207639 1
3688 3861.63270438 5
3689 3988.58903730 3
3691 2502.41338359 1
3692 3699.39443166 4
3693 2895.39277769 1
3696 2986.08529591 1
3699 3792.20200200 2
3700 3897.37251402 4
3701 3839.78786724 3
3702 3719.68036962 2
3703 3685.05340786 3
3704 3723.03572858 3
3707 3385.51715301 4
3709 3257.15717862 3
3711 1961.70338111 1
3712 2610.38700485 1
3714 3704.58768624 5
3715 3511.49007633 5
3716 3401.02364711 1
3717 3366.81135610 3
3718 3387.52442849 2
3719 3394.12591560 5
3720 2479.73042818 1
3722 3040.39405184 3
3723 3065.39405184 4
3724 2846.33318000 4
3727 1762.02051658 1
3728 3468.30127070 5
3734 3106.29482228 2
3737 3064.85751296 3
3740 2442.03947903 4
3741 2045.07655073 1
3744 2483.96619691 4
3747 1173.30378484 1
3748 2045.69980786 4
3750 2688.31835264 4
3754 2690.23222220 3
3757 2086.66671974 4
3758 1343.50381863 1
3760 1355.63581184 1
3761 1694.18873087 2
3762 833.63771565 1
4035 8139.75112449 1
4048 7507.84525082 1
4057 6901.16885793 1
4062 6901.16627111 1
4074 6326.96647315 1
4075 6326.97172287 1
4085 5780.56443036 1
4087 5779.32861244 1
4095 5276.76520359 1
4096 5267.15741236 1
4097 5263.70198400 1
4099 6229.63144856 2
4104 4762.24366734 1
4105 4786.87300799 1
4106 4776.15469716 1
4108 4788.44955941 1
4109 4788.53474701 1
4110 4788.56184518 1
4112 5838.43278578 5
4113 5787.21756687 3
4115 4296.39060932 1
4116 4325.69002507 1
4117 5382.41476762 5
4119 4262.39470354 1
4121 5540.68768038 3
4128 3829.91003748 1
4129 3836.83319819 1
4130 4520.02916648 1
4131 3832.34984086 1
4133 4941.78836301 2
4134 3781.59551456 1
4140 4793.80264210 1
4142 4904.22354093 3
4143 4867.52299173 5
4144 3931.87106632 1
4145 4935.64314782 3
4147 4625.41454861 4
4148 4530.73837359 4
4151 4476.10281725 3
4153 3638.13139332 1
4154 4758.29050443 4
4155 4708.99948098 5
4156 4644.74478017 4
4157 4408.52379305 1
4158 4149.85923549 1
4159 4536.54823679 2
4160 4611.54823677 3
4162 4323.11019707 4
4166 4122.34051136 3
4167 3127.37029019 1
4170 4371.77991091 2
4171 3933.32633872 1
4172 3936.69414916 1
4173 3672.53472300 1
4174 4220.44281777 4
4176 4008.04489368 3
4180 3771.25379914 3
4182 2601.25115243 1
4183 4237.62335988 4
4184 4155.41695275 5
4185 4118.60479719 5
4186 4033.39093061 2
4187 3353.08203634 1
4188 3734.56037809 1
4189 3728.03394559 1
4191 3674.38889964 3
4195 3428.74715655 3
4198 3984.80314324 5
4199 3944.45996438 4
4200 3789.62595063 4
4201 3456.79557913 5
4202 3413.36317279 5
4203 3185.99587693 1
4204 3666.81053790 3
4205 3162.55083758 1
4206 3336.77885664 3
4207 3186.29866447 1
4208 2280.44007779 1
4210 3098.59072636 3
4213 3759.93503271 4
4214 3577.90822747 2
4215 3677.90822745 4
4216 3561.34031586 3
4217 3066.08813591 5
4218 3366.61970619 3
4219 3380.77243904 3
4226 1605.01093459 1
4227 2216.19894679 1
4229 3493.30127069 4
4230 3377.39267082 4
4232 2918.88381122 2
4233 3163.07131559 4
4234 2969.18586089 2
4235 1892.56997943 1
4237 2687.90629457 3
4238 2736.65622743 4
4239 2314.75639991 2
4242 1122.34704311 1
4243 3266.06111318 5
4245 2856.46930301 3
4247 1190.86537673 1
4249 2819.19136621 4
4251 667.83953061 1
4252 2599.25967208 2
4253 2712.24404960 2
4255 2078.81308083 4
4266 178.25856048 1
4269 2374.23822294 3
4272 1768.20465002 5
4275 910.02070074 1
4276 1237.54637232 5
4534 8140.95295684 1
4543 7504.15669160 1
4559 6901.16610231 1
4560 6901.16731646 1
4570 6328.28248570 1
4573 6326.97751401 1
4581 5793.40001810 1
4582 5787.05142355 1
4583 5784.84708753 1
4585 6676.68178818 4
4588 6574.13948578 3
4590 5261.96123136 1
4591 5278.13557480 1
4592 5255.43907126 1
4594 5278.24103732 1
4595 5279.17759603 1
4596 5277.97423937 1
4598 6137.27469963 2
4600 4772.22265139 1
4602 4790.83430054 1
4603 4775.99102803 1
4605 4751.36290593 1
4607 5886.19686967 5
4611 5896.38511024 3
4612 5863.17222860 4
4613 4292.14744675 1
4614 5549.39378561 5
4615 5549.39416030 5
4616 4317.65997041 1
4617 4293.56509051 1
4619 5344.89577901 5
4624 4647.28275348 1
4625 5307.37150469 3
4626 5298.23237077 5
4627 5222.43419334 4
4628 5278.11488170 4
4629 5149.45734174 2
4630 5266.13355232 3
4631 4909.14845550 2
4633 4836.06021321 5
4635 3707.91342965 1
4636 3709.66583313 1
4637 4827.96509001 3
4638 4141.82021691 1
4639 4899.26044806 2
4640 5038.93076551 4
4641 4989.19902372 3
4642 4904.78008473 2
4644 4643.00670764 1
4645 4540.28012670 5
4646 4477.99255147 4
4647 4605.56260441 3
4649 3271.22489235 1
4650 3273.89377051 1
4652 3703.22715892 1
4653 3911.62873928 1
4654 4716.95729581 3
4655 4712.70521915 3
4656 4263.92259508 5
4659 4225.30554345 4
4660 4153.94998144 3
4663 2842.62683311 1
4664 3876.26412220 5
4665 3356.27127297 1
4666 3278.76699951 1
4667 3485.72061859 1
4668 4452.98020892 3
4669 4471.15634105 4
4670 4446.15634106 3
4672 3974.05573933 4
4673 3921.62303875 3
4674 3408.57400842 5
4675 3755.13349147 2
4676 3318.69706535 3
4677 3568.67688112 4
4678 2415.03119452 1
4679 3506.76297973 3
4680 2849.46392723 1
4681 2963.71467466 1
4682 4201.62761628 3
4683 4014.61831344 1
4684 4014.61829563 1
4686 3718.51646825 5
4689 3086.93783346 3
4690 2861.54477421 3
4692 1980.38204693 1
4693 3130.34063025 3
4696 3955.02399812 3
4697 3956.20038452 3
4699 3835.71915433 2
4700 3490.90015421 5
4702 2943.39551584 1
4703 2763.92887436 5
4705 2952.25638840 5
4707 2764.21917419 5
4711 3725.22493893 3
4713 3714.45493320 3
