state	value*	action*
1 25.36911815 2
2 26.92527239 2
3 28.99647888 2
4 31.40070560 2
5 34.10611380 3
6 36.82260173 3
7 38.45828976 3
8 37.07165809 3
9 34.36167997 3
10 32.65905368 3
11 26.34676112 2
12 28.40204727 2
13 31.12128804 2
14 33.97889509 2
15 37.25298633 3
16 40.02206506 3
17 42.50966469 3
18 40.00986085 3
19 37.03296762 3
20 34.38703302 1
21 28.23274340 2
22 30.47138701 2
23 33.39276295 2
24 36.83969992 2
25 40.75865225 3
26 44.40349733 3
27 47.22691455 3
28 43.85551040 3
29 40.26659845 1
30 37.05172812 1
31 29.85532590 2
32 32.66846624 2
33 35.91283648 2
34 39.86777882 2
35 44.58613984 2
36 48.87399842 2
37 53.16992436 3
38 48.31939574 3
39 44.26167970 1
40 40.16410663 1
41 30.41700164 2
42 33.43022791 2
43 37.34859110 2
44 41.25285713 2
45 46.46726283 2
46 52.44849133 2
47 60.69660938 3
48 53.34934129 1
49 46.30656521 1
50 41.69843134 1
51 29.46975074 2
52 32.05349234 2
53 35.81266557 2
54 40.08386219 2
55 44.12863686 2
56 48.89062726 2
57 53.56286202 4
58 48.96843732 1
59 43.92781575 1
60 40.13117856 1
61 27.72378580 2
62 29.94033915 2
63 33.19719625 2
64 36.39223152 4
65 40.20202747 4
66 43.90245970 4
67 46.91095044 4
68 44.14468018 4
69 40.36704178 1
70 37.36148015 1
71 26.53054242 2
72 28.17586895 4
73 30.69249319 2
74 33.26168765 4
75 36.55806278 4
76 39.30937290 4
77 41.78874461 4
78 40.27412264 4
79 36.87550991 1
80 34.33176117 1
81 27.40741372 2
82 29.83571054 2
83 28.63832340 4
84 30.49220804 2
85 33.04916976 4
86 35.79432585 4
87 37.69537226 4
88 36.69576463 4
89 33.81520920 4
90 31.63317112 4
91 25.97555353 4
92 27.17682841 4
93 26.89000577 4
94 28.44946896 4
95 30.46905321 4
96 32.56837445 4
97 34.32147646 4
98 33.43014067 4
99 31.20767017 1
100 29.91985531 4
