state	value*	action*
1 228.26645134 2
2 230.96870235 2
3 234.41238072 2
4 238.20286176 2
5 242.22006645 3
6 246.03621467 3
7 248.18129635 3
8 246.40942622 3
9 242.70152591 3
10 240.29660253 3
11 229.93019954 2
12 233.38597943 2
13 237.73788967 2
14 242.01160569 2
15 246.59395537 3
16 250.21000324 3
17 253.24707885 3
18 250.20438783 3
19 246.34382437 3
20 242.73629587 1
21 233.08146733 2
22 236.66633635 2
23 241.10109265 2
24 245.99082359 2
25 251.15846510 3
26 255.59881174 3
27 258.76499082 3
28 254.91251307 1
29 250.53469997 1
30 246.37097384 1
31 235.65382813 2
32 239.96462694 2
33 244.63703511 2
34 249.94960264 2
35 255.81714839 2
36 260.69810383 2
37 265.22143050 3
38 260.02733202 3
39 255.41169388 1
40 250.41173240 1
41 236.45111003 2
42 240.98466340 2
43 246.52919038 2
44 251.60222351 2
45 257.84869499 2
46 264.43173052 2
47 272.77262300 3
48 265.38865996 1
49 257.66996893 1
50 252.26800181 1
51 234.90000223 2
52 238.90308698 2
53 244.41032899 2
54 250.19046268 2
55 255.21012034 2
56 260.68818181 2
57 265.64327914 4
58 260.77727900 1
59 254.98953226 1
60 250.36460598 1
61 231.88591719 2
62 235.59143715 2
63 240.68391216 2
64 245.26457124 4
65 250.35659354 4
66 254.91476257 4
67 258.36222357 4
68 255.24933844 4
69 250.64230196 1
70 246.76843125 1
71 229.35809136 2
72 232.44175481 4
73 236.83349406 2
74 240.79429092 4
75 245.50826653 4
76 249.15914909 4
77 252.26959719 4
78 250.49991749 4
79 246.06013683 1
80 242.56734954 1
81 229.13768795 2
82 232.72395980 2
83 233.18114294 4
84 236.56237037 2
85 240.48094926 4
86 244.44293312 4
87 247.02928822 4
88 245.78966454 4
89 241.78936135 4
90 238.61996134 4
91 226.80289825 4
92 228.98146766 4
93 230.10387945 2
94 233.23916967 4
95 236.56945115 4
96 239.81356934 4
97 242.40622585 4
98 241.20217980 4
99 237.94562543 1
100 236.01639609 4
